 Time         , Voltage      , Voltage      , Voltage      , Current      , Current      , Current      , Current      
 Second       , SBUS A       , SBUS B       , SBUS C       , HXX004       , SBUS A       , SBUS B       , SBUS C       
              ,              ,              ,              , HXX010       , 25   A       , 25   B       , 25   C       
 0.000000e+000, 3.390285e+003,-1.725061e+003,-1.666293e+003, 0.000000e+000, 3.164457e+002,-8.367761e+001,-1.465442e+002
 5.000000e-005, 3.390514e+003,-1.669568e+003,-1.721786e+003, 3.684206e-007, 3.168171e+002,-7.994912e+001,-1.506317e+002
 1.000000e-004, 3.424305e+003,-1.642987e+003,-1.786433e+003, 0.000000e+000, 3.147370e+002,-7.420731e+001,-1.540087e+002
 1.500000e-004, 3.445917e+003,-1.613599e+003,-1.848950e+003, 0.000000e+000, 3.086077e+002,-6.462161e+001,-1.561185e+002
 2.000000e-004, 3.441351e+003,-1.556532e+003,-1.904652e+003, 0.000000e+000, 3.008531e+002,-5.317361e+001,-1.574771e+002
 2.500000e-004, 3.442801e+003,-1.505501e+003,-1.959867e+003, 0.000000e+000, 2.926697e+002,-4.125003e+001,-1.584862e+002
 3.000000e-004, 3.436646e+003,-1.447970e+003,-2.012340e+003, 0.000000e+000, 2.840032e+002,-2.881382e+001,-1.592707e+002
 3.500000e-004, 3.436172e+003,-1.395395e+003,-2.066185e+003, 0.000000e+000, 2.748222e+002,-1.590337e+001,-1.598280e+002
 4.000000e-004, 3.430976e+003,-1.339818e+003,-2.117941e+003, 0.000000e+000, 2.649018e+002,-2.324432e+000,-1.601086e+002
 4.500000e-004, 3.427617e+003,-1.285564e+003,-2.170722e+003, 0.000000e+000, 2.542762e+002, 1.186973e+001,-1.600844e+002
 5.000000e-004, 3.421864e+003,-1.230696e+003,-2.221935e+003, 0.000000e+000, 2.428235e+002, 2.678363e+001,-1.596897e+002
 5.500000e-004, 3.415170e+003,-1.174432e+003,-2.273385e+003, 0.000000e+000, 2.306095e+002, 4.233590e+001,-1.589098e+002
 6.000000e-004, 3.407360e+003,-1.119163e+003,-2.323900e+003, 0.000000e+000, 2.176143e+002, 5.855073e+001,-1.576847e+002
