Time,SBUS A          V-node,SBUS B          V-node,SBUS C          V-node,SBUS A 25   A I-branch,SBUS B 25   B I-branch,SBUS C 25   C I-branch,TACS   PV001A I-branch,TACS   PV001X I-branch,TACS   PV001I I-branch,TACS   PV002A I-branch,TACS   PV002X I-branch,TACS   PV002I I-branch,TACS   PV003A I-branch,TACS   PV003X I-branch,TACS   PV003I I-branch,TACS   PV004A I-branch,TACS   PV004X I-branch,TACS   PV004I I-branch,TACS   PV005A I-branch,TACS   PV005X I-branch,TACS   PV005I I-branch,TACS   PV006A I-branch,TACS   PV006X I-branch,TACS   PV006I I-branch,TACS   PV007A I-branch,TACS   PV007X I-branch,TACS   PV007I I-branch,TACS   PV008A I-branch,TACS   PV008X I-branch,TACS   PV008I I-branch,TACS   PV009A I-branch,TACS   PV009X I-branch,TACS   PV009I I-branch,TACS   PV010A I-branch,TACS   PV010X I-branch,TACS   PV010I I-branch,TACS   PV011A I-branch,TACS   PV011X I-branch,TACS   PV011I I-branch,TACS   PV012A I-branch,TACS   PV012X I-branch,TACS   PV012I I-branch,TACS   PV013A I-branch,TACS   PV013X I-branch,TACS   PV013I I-branch,TACS   PV014A I-branch,TACS   PV014X I-branch,TACS   PV014I I-branch,TACS   PV001V I-branch,TACS   PV001W I-branch,TACS   PV009V I-branch,TACS   PV009W I-branch,TACS   PV013V I-branch,TACS   PV013W I-branch
0,98372,-50586,-48570,36813,-4453,-49459,613,-5010,-99999,5365,1956,-99999,-4452,3452,-99999,-5002,3282,-99999,-6712,2083,-99999,-6446,2952,-99999,-6529,3961,-99999,2130,949,-99999,-1474,-8344,-99999,6291,3547,-99999,8061,3446,-99999,7545,3486,-99999,-1551,-8745,-99999,-6211,5027,-99999,-99999,-99999,-99999,-99999,-99999,-99999
50,98378,-48958,-50193,36871,-4044,-50867,-48166,-6311,-97528,96030,3235,-97528,-51113,2172,-97528,-51481,2004,-97528,51794,3364,-97528,52076,4243,-97527,52081,5265,-97522,97671,2215,-97529,-36233,-9687,-97524,-24590,2266,-97527,-23327,2166,-97527,-23730,2206,-97527,-36286,-10092,-97523,52000,6345,-97516,-99998,98733,-99998,98604,-99998,98625
100,99367,-48178,-52084,36542,-3413,-52029,-51003,-8881,-92645,98803,5762,-92646,-54846,-356,-92646,-55134,-520,-92646,53212,5893,-92646,53574,6795,-92644,53258,7841,-92629,99146,4717,-92648,-39270,-12338,-92634,-24161,-265,-92644,-23023,-362,-92644,-23563,-323,-92643,-39955,-12754,-92632,55086,8948,-92610,-99650,98733,-99731,98604,-99731,98625
150,99999,-47315,-53912,35574,-2361,-52756,-53349,-11387,-87883,99998,8226,-87885,-56984,-2822,-87884,-57684,-2981,-87884,53947,8360,-87885,54473,9282,-87881,54027,10353,-87857,99998,7157,-87888,-40975,-14924,-87864,-23385,-2732,-87880,-22383,-2827,-87881,-22871,-2790,-87880,-41782,-15350,-87861,56500,11486,-87824,-98933,98483,-99171,98347,-99166,98363
200,99863,-45640,-55541,34351,-1104,-53224,-55091,-13831,-83238,99729,10628,-83241,-55485,-5225,-83240,-56144,-5381,-83240,53782,10766,-83241,54193,11708,-83236,53926,12803,-83203,99833,9536,-83245,-42139,-17446,-83213,-22512,-5139,-83235,-21713,-5231,-83235,-22264,-5194,-83234,-42887,-17880,-83209,56399,13962,-83158,-98183,98094,-98577,97951,-98563,97960
250,99906,-44143,-57156,33060,205,-53572,-56824,-16213,-78708,99870,12970,-78712,-54463,-7569,-78710,-55171,-7720,-78711,54000,13110,-78712,54656,14072,-78706,54264,15190,-78663,99956,11855,-78717,-43497,-19904,-78676,-21745,-7484,-78704,-21268,-7574,-78705,-21883,-7538,-78703,-44269,-20347,-78671,56743,16374,-78606,-97411,97827,-97968,97682,-97942,97690
300,99725,-42454,-58691,31694,1571,-53842,-58382,-18535,-74290,99624,15252,-74295,-52769,-9852,-74293,-53448,-10000,-74293,53883,15395,-74294,54503,16376,-74288,54255,17516,-74236,99783,14114,-74301,-44723,-22299,-74251,-21006,-9769,-74285,-20886,-9857,-74286,-21605,-9822,-74284,-45419,-22752,-74245,56637,18725,-74167,-96621,97574,-97344,97428,-97308,97436
350,99712,-40912,-60266,30246,2988,-54034,-60063,-20796,-69981,99814,17475,-69986,-51520,-12075,-69984,-52202,-12220,-69985,54064,17620,-69986,54848,18621,-69978,54560,19782,-69918,99871,16315,-69994,-46155,-24633,-69936,-20360,-11994,-69976,-20631,-12080,-69976,-21443,-12046,-69975,-46873,-25094,-69929,57002,21015,-69837,-95815,97324,-96706,97177,-96660,97185
400,99560,-39281,-61779,28682,4479,-54131,-61630,-22999,-65778,99656,19639,-65784,-49988,-14241,-65782,-50660,-14382,-65783,54067,19787,-65784,54955,20806,-65775,54706,21989,-65707,99777,18458,-65793,-47441,-26906,-65727,-19744,-14161,-65772,-20372,-14246,-65773,-21277,-14213,-65771,-48067,-27375,-65719,56997,23246,-65614,-94993,97076,-96054,96927,-95998,96936
450,99462,-37689,-63323,27007,6038,-54123,-63300,-25144,-61679,99810,21746,-61686,-48644,-16348,-61684,-49306,-16486,-61685,54143,21897,-61686,55059,22934,-61676,54884,24138,-61599,99774,20545,-61696,-48940,-29119,-61622,-19207,-16270,-61673,-20132,-16353,-61673,-21122,-16321,-61671,-49583,-29597,-61613,57299,25417,-61496,-94155,96829,-95386,96676,-95322,96686
