Time,SBUS A          V-node,SBUS B          V-node,SBUS C          V-node,SBUS A 22   A I-branch,SBUS B 22   B I-branch,SBUS C 22   C I-branch,FAULTA        I-branch,FAULTB        I-branch,FAULTC        I-branch,TACS   PV001V I-branch,TACS   PV001I I-branch,TACS   PV001W I-branch,TACS   PV002V I-branch,TACS   PV002I I-branch,TACS   PV002W I-branch,TACS   ST001V I-branch,TACS   ST001I I-branch,TACS   ST001W I-branch,TACS   ST002V I-branch,TACS   ST002I I-branch,TACS   ST002W I-branch,TACS   ST003V I-branch,TACS   ST003I I-branch,TACS   ST003W I-branch
0,86604,-8,-86598,99998,1409,-82256,0,0,0,-99999,-99999,-99999,-99999,-99999,-92075,-99999,-99999,-92075,-99999,-99999,-99999,-99999,-99999,-92075
50,85646,1877,-87525,99384,3621,-83591,0,0,0,-99983,-97024,62178,88096,-97376,-92075,88096,-97376,-92075,-99983,-97529,62178,88096,-97376,-92075
100,84659,3761,-88421,98675,5831,-84853,0,0,0,-99652,-91146,62178,88143,-92195,-91686,88143,-92195,-91686,-99652,-92649,62178,88143,-92195,-91686
150,83641,5644,-89286,97815,8043,-85997,0,0,0,-98948,-85414,61984,88280,-87145,-90042,88280,-87145,-90042,-98948,-87889,61984,88280,-87145,-90042
200,82593,7525,-90119,96858,10252,-87063,0,0,0,-98231,-79823,61689,88444,-82223,-87571,88444,-82223,-87571,-98231,-83247,61689,88444,-82223,-87571
250,81516,9403,-90920,95867,12452,-88095,0,0,0,-97527,-74370,61499,88616,-77428,-85158,88616,-77428,-85158,-97527,-78719,61499,88616,-77428,-85158
300,80409,11278,-91689,94842,14640,-89089,0,0,0,-96856,-69051,61327,88784,-72756,-82745,88784,-72756,-82745,-96856,-74303,61327,88784,-72756,-82745
350,79275,13148,-92425,93777,16816,-90043,0,0,0,-96215,-63864,61162,88949,-68203,-80322,88949,-68203,-80322,-96215,-69996,61162,88949,-68203,-80322
400,78112,15015,-93128,92672,18980,-90956,0,0,0,-95605,-58805,61003,89110,-63768,-77899,89110,-63768,-77899,-95605,-65796,61003,89110,-63768,-77899
450,76921,16875,-93798,91525,21131,-91825,0,0,0,-95025,-53871,60849,89269,-59447,-75486,89269,-59447,-75486,-95025,-61699,60849,89269,-59447,-75486
500,75703,18730,-94435,90335,23270,-92650,0,0,0,-94475,-49059,60700,89425,-55236,-73063,89425,-55236,-73063,-94475,-57704,60700,89425,-55236,-73063
550,74458,20578,-95038,89101,25394,-93429,0,0,0,-93955,-44366,60555,89578,-51134,-70649,89578,-51134,-70649,-93955,-53807,60555,89578,-51134,-70649
600,73187,22419,-95608,87824,27503,-94161,0,0,0,-93464,-39788,60415,89728,-47137,-68245,89728,-47137,-68245,-93464,-50006,60415,89728,-47137,-68245
650,71889,24252,-96143,86504,29596,-94847,0,0,0,-93004,-35324,60280,89876,-43243,-65841,89876,-43243,-65841,-93004,-46299,60280,89876,-43243,-65841
700,70566,26076,-96645,85143,31672,-95486,0,0,0,-92573,-30969,60151,90022,-39449,-63447,90022,-39449,-63447,-92573,-42684,60151,90022,-39449,-63447
750,69218,27891,-97112,83742,33728,-96078,0,0,0,-92171,-26723,60026,90165,-35753,-61053,90165,-35753,-61053,-92171,-39158,60026,90165,-35753,-61053
800,67846,29696,-97544,82304,35764,-96623,0,0,0,-91799,-22581,59908,90306,-32152,-58668,90306,-32152,-58668,-91799,-35719,59908,90306,-32152,-58668
850,66449,31491,-97942,80831,37777,-97123,0,0,0,-91456,-18541,59795,90445,-28644,-56283,90445,-28644,-56283,-91456,-32364,59795,90445,-28644,-56283
900,65029,33274,-98305,79325,39766,-97577,0,0,0,-91142,-14601,59690,90581,-25226,-53908,90581,-25226,-53908,-91142,-29093,59690,90581,-25226,-53908
950,63585,35046,-98633,77790,41730,-97988,0,0,0,-90856,-10759,59591,90715,-21896,-51532,90715,-21896,-51532,-90856,-25903,59591,90715,-21896,-51532
1000,62119,36805,-98926,76229,43666,-98355,0,0,0,-90600,-7011,59500,90847,-18652,-49157,90847,-18652,-49157,-90600,-22791,59500,90847,-18652,-49157
1050,60631,38551,-99184,74645,45574,-98681,0,0,0,-90371,-3356,59417,90977,-15492,-46781,90977,-15492,-46781,-90371,-19756,59417,90977,-15492,-46781
1100,59122,40283,-99407,73041,47451,-98967,0,0,0,-90171,209,59342,91104,-12413,-44396,91104,-12413,-44396,-90171,-16796,59342,91104,-12413,-44396
1150,57591,42001,-99594,71422,49297,-99215,0,0,0,-89999,3686,59277,91230,-9413,-42002,91230,-9413,-42002,-89999,-13909,59277,91230,-9413,-42002
1200,56040,43704,-99746,69789,51110,-99425,0,0,0,-89855,7077,59223,91354,-6491,-39608,91354,-6491,-39608,-89855,-11094,59223,91354,-6491,-39608
1250,54469,45392,-99863,68147,52890,-99600,0,0,0,-89738,10384,59179,91475,-3645,-37194,91475,-3645,-37194,-89738,-8348,59179,91475,-3645,-37194
