Time,SBUS A          V-node,SBUS B          V-node,SBUS C          V-node,SBUS A 22   A I-branch,SBUS B 22   B I-branch,SBUS C 22   C I-branch,FAULTA        I-branch,FAULTB        I-branch,FAULTC        I-branch,TACS   PV001V I-branch,TACS   PV001I I-branch,TACS   PV001W I-branch,TACS   PV002V I-branch,TACS   PV002I I-branch,TACS   PV002W I-branch,TACS   ST001V I-branch,TACS   ST001I I-branch,TACS   ST001W I-branch,TACS   ST002V I-branch,TACS   ST002I I-branch,TACS   ST002W I-branch,TACS   ST003V I-branch,TACS   ST003I I-branch,TACS   ST003W I-branch
0,86604,-8,-86605,82101,-12787,-79704,12786,0,0,-99999,-99999,-99999,-99999,-99999,-14611,-99999,-99999,-14611,-99999,-99999,-99999,-99999,-99999,-14611
50,85646,1877,-87532,81500,-10565,-81110,12786,0,0,-99984,-97525,62162,87106,-97954,-14611,87106,-97777,-14611,-99984,-97529,62162,87106,-97954,-14611
100,84659,3761,-88428,80766,-8347,-82401,12786,0,0,-99655,-92636,62162,87153,-93913,-14567,87153,-93389,-14567,-99655,-92648,62162,87153,-93913,-14567
150,83641,5644,-89293,79794,-6132,-83488,12786,0,0,-98956,-87868,61968,87297,-89974,-14385,87297,-89110,-14385,-98956,-87888,61968,87297,-89974,-14385
200,82593,7525,-90125,78685,-3923,-84455,12786,0,0,-98243,-83218,61673,87485,-86136,-14117,87485,-84942,-14117,-98243,-83246,61673,87485,-86136,-14117
250,81516,9403,-90925,77546,-1729,-85383,12786,0,0,-97543,-78682,61483,87687,-82398,-13855,87687,-80881,-13855,-97543,-78718,61483,87687,-82398,-13855
300,80410,11278,-91694,76375,445,-86267,12786,0,0,-96876,-74259,61310,87884,-78755,-13586,87884,-76924,-13586,-96876,-74302,61310,87884,-78755,-13586
350,79275,13149,-92429,75166,2601,-87102,12786,0,0,-96239,-69945,61146,88077,-75207,-13312,88077,-73071,-13312,-96239,-69995,61146,88077,-75207,-13312
400,78112,15015,-93132,73914,4738,-87885,12786,0,0,-95633,-65737,60987,88265,-71751,-13033,88265,-69316,-13033,-95633,-65794,60987,88265,-71751,-13033
450,76921,16875,-93802,72618,6856,-88614,12786,0,0,-95056,-61633,60833,88450,-68384,-12750,88450,-65659,-12750,-95056,-61697,60833,88450,-68384,-12750
500,75703,18730,-94438,71275,8954,-89287,12786,0,0,-94509,-57631,60683,88632,-65104,-12463,88632,-62097,-12463,-94509,-57701,60683,88632,-65104,-12463
550,74459,20578,-95041,69885,11031,-89902,12786,0,0,-93991,-53727,60539,88809,-61909,-12171,88809,-58626,-12171,-93991,-53804,60539,88809,-61909,-12171
600,73187,22419,-95610,68448,13085,-90457,12786,0,0,-93503,-49920,60398,88984,-58797,-11877,88984,-55246,-11877,-93503,-50003,60398,88984,-58797,-11877
650,71890,24252,-96146,66964,15115,-90952,12786,0,0,-93045,-46206,60263,89155,-55765,-11579,89155,-51953,-11579,-93045,-46296,60263,89155,-55765,-11579
700,70567,26077,-96647,65436,17119,-91387,12786,0,0,-92616,-42585,60133,89323,-52812,-11279,89323,-48745,-11279,-92616,-42681,60133,89323,-52812,-11279
750,69219,27892,-97113,63867,19096,-91764,12786,0,0,-92216,-39053,60009,89488,-49935,-10975,89488,-45620,-10975,-92216,-39155,60009,89488,-49935,-10975
800,67846,29697,-97546,62259,21043,-92082,12786,0,0,-91846,-35608,59890,89651,-47132,-10669,89651,-42576,-10669,-91846,-35715,59890,89651,-47132,-10669
850,66450,31491,-97943,60616,22957,-92343,12786,0,0,-91504,-32248,59778,89810,-44403,-10359,89810,-39611,-10359,-91504,-32361,59778,89810,-44403,-10359
900,65029,33275,-98306,58944,24838,-92549,12786,0,0,-91191,-28971,59672,89967,-41744,-10047,89967,-36723,-10047,-91191,-29090,59672,89967,-41744,-10047
950,63586,35046,-98634,57246,26683,-92703,12786,0,0,-90907,-25775,59573,90120,-39154,-9731,90120,-33910,-9731,-90907,-25899,59573,90120,-39154,-9731
1000,62120,36805,-98927,55527,28489,-92807,12786,0,0,-90651,-22658,59481,90272,-36631,-9412,90272,-31170,-9412,-90651,-22787,59481,90272,-36631,-9412
1050,60632,38551,-99185,53794,30255,-92863,12786,0,0,-90423,-19618,59398,90420,-34174,-9089,90420,-28501,-9089,-90423,-19752,59398,90420,-34174,-9089
1100,59122,40284,-99408,52051,31979,-92876,12786,0,0,-90224,-16653,59324,90566,-31780,-8762,90566,-25901,-8762,-90224,-16792,59324,90566,-31780,-8762
1150,57591,42002,-99595,50304,33661,-92847,12786,0,0,-90052,-13761,59259,90709,-29449,-8432,90709,-23369,-8432,-90052,-13905,59259,90709,-29449,-8432
1200,56040,43705,-99747,48557,35298,-92781,12786,0,0,-89908,-10940,59204,90849,-27178,-8095,90849,-20902,-8095,-89908,-11089,59204,90849,-27178,-8095
1250,54469,45393,-99863,46816,36889,-92680,12786,0,0,-89792,-8189,59160,90986,-24966,-7755,90986,-18500,-7755,-89792,-8343,59160,90986,-24966,-7755
1300,52879,47064,-99944,45085,38435,-92549,12786,0,0,-89702,-5507,59129,91121,-22811,-7408,91121,-16160,-7408,-89702,-5665,59129,91121,-22811,-7408
1350,51269,48719,-99990,43368,39935,-92390,12786,0,0,-89640,-2890,59110,91254,-20713,-7055,91254,-13880,-7055,-89640,-3052,59110,91254,-20713,-7055
1400,49642,50356,-99999,41669,41389,-92206,12786,0,0,-89603,-338,59107,91383,-18669,-6698,91383,-11660,-6698,-89603,-505,59107,91383,-18669,-6698
1450,47997,51976,-99974,39992,42798,-92001,12786,0,0,-89593,2151,59119,91510,-16678,-6334,91510,-9498,-6334,-89593,1980,59119,91510,-16678,-6334
1500,46334,53577,-99913,38337,44162,-91777,12786,0,0,-89609,4579,59149,91635,-14739,-5964,91635,-7392,-5964,-89609,4404,59149,91635,-14739,-5964
1550,44656,55159,-99816,36709,45481,-91537,12786,0,0,-89650,6946,59198,91757,-12851,-5588,91757,-5341,-5588,-89650,6767,59198,91757,-12851,-5588
