Time,SBUS A          V-node,SBUS B          V-node,SBUS C          V-node,SBUS A 22   A I-branch,SBUS B 22   B I-branch,SBUS C 22   C I-branch,FAULTA        I-branch,FAULTB        I-branch,FAULTC        I-branch,TACS   PV001V I-branch,TACS   PV001I I-branch,TACS   PV001W I-branch,TACS   PV002V I-branch,TACS   PV002I I-branch,TACS   PV002W I-branch,TACS   ST001V I-branch,TACS   ST001I I-branch,TACS   ST001W I-branch,TACS   ST002V I-branch,TACS   ST002I I-branch,TACS   ST002W I-branch,TACS   ST003V I-branch,TACS   ST003I I-branch,TACS   ST003W I-branch
0,86607,-17,-86594,13444,-13191,-863,3129,-12581,10661,-99999,-99999,-99999,-99999,-99999,99998,-99999,-99999,99998,-99999,-99999,-99999,-99999,-99999,99998
50,85650,1868,-87521,13443,-13091,-972,3129,-12581,10661,-99983,-97048,62874,95038,-99431,99998,95038,-97773,99998,-99983,-97530,62874,95038,-98209,99998
100,84662,3752,-88417,13439,-12990,-1078,3129,-12581,10661,-99643,-91217,62874,95030,-98308,99995,95030,-93374,99995,-99643,-92653,62874,95030,-94673,99995
150,83644,5635,-89282,13432,-12889,-1181,3129,-12581,10661,-98928,-85530,62684,95050,-97212,99990,95050,-89084,99990,-98928,-87896,62684,95050,-91224,99990
200,82597,7515,-90116,13421,-12787,-1282,3129,-12581,10661,-98208,-79983,62392,95093,-96144,99987,95093,-84900,99987,-98208,-83257,62392,95093,-87860,99987
250,81519,9394,-90917,13407,-12685,-1381,3129,-12581,10661,-97495,-74574,62198,95148,-95103,99984,95148,-80821,99984,-97495,-78732,62198,95148,-84581,99984
300,80413,11268,-91686,13391,-12582,-1478,3129,-12581,10661,-96806,-69298,62021,95209,-94087,99980,95209,-76844,99980,-96806,-74319,62021,95209,-81383,99980
350,79279,13139,-92422,13372,-12479,-1574,3129,-12581,10661,-96144,-64152,61852,95271,-93097,99978,95271,-72967,99978,-96144,-70015,61852,95271,-78266,99978
400,78116,15005,-93125,13352,-12376,-1667,3129,-12581,10661,-95513,-59134,61690,95335,-92132,99975,95335,-69187,99975,-95513,-65817,61690,95335,-75227,99975
450,76925,16866,-93795,13329,-12272,-1759,3129,-12581,10661,-94911,-54239,61533,95398,-91191,99972,95398,-65501,99972,-94911,-61723,61533,95398,-72264,99972
500,75707,18721,-94432,13304,-12168,-1850,3129,-12581,10661,-94340,-49465,61381,95461,-90274,99970,95461,-61908,99970,-94340,-57730,61381,95461,-69375,99970
550,74462,20569,-95036,13277,-12064,-1938,3129,-12581,10661,-93798,-44809,61233,95525,-89380,99968,95525,-58406,99968,-93798,-53835,61233,95525,-66559,99968
600,73191,22410,-95605,13247,-11960,-2025,3129,-12581,10661,-93287,-40268,61091,95589,-88508,99966,95589,-54991,99966,-93287,-50037,61091,95589,-63814,99966
650,71894,24243,-96141,13216,-11856,-2110,3129,-12581,10661,-92805,-35839,60953,95653,-87658,99964,95653,-51662,99964,-92805,-46332,60953,95653,-61137,99964
700,70571,26067,-96643,13182,-11752,-2192,3129,-12581,10661,-92353,-31519,60820,95717,-86829,99962,95717,-48416,99962,-92353,-42719,60820,95717,-58528,99962
750,69223,27882,-97110,13146,-11648,-2273,3129,-12581,10661,-91931,-27307,60693,95781,-86021,99961,95781,-45252,99961,-91931,-39195,60693,95781,-55984,99961
800,67851,29688,-97542,13108,-11544,-2352,3129,-12581,10661,-91538,-23198,60571,95846,-85234,99959,95846,-42168,99959,-91538,-35758,60571,95846,-53505,99959
850,66454,31482,-97940,13068,-11440,-2429,3129,-12581,10661,-91174,-19190,60455,95910,-84466,99958,95910,-39161,99958,-91174,-32406,60455,95910,-51087,99958
900,65034,33266,-98304,13026,-11336,-2504,3129,-12581,10661,-90839,-15282,60346,95975,-83718,99956,95975,-36230,99956,-90839,-29137,60346,95975,-48731,99956
950,63590,35037,-98632,12982,-11232,-2577,3129,-12581,10661,-90533,-11470,60243,96040,-82988,99955,96040,-33373,99955,-90533,-25949,60243,96040,-46434,99955
1000,62124,36796,-98925,12936,-11128,-2648,3129,-12581,10661,-90256,-7752,60147,96105,-82277,99954,96105,-30588,99954,-90256,-22839,60147,96105,-44195,99954
1050,60636,38542,-99183,12889,-11025,-2717,3129,-12581,10661,-90007,-4126,60059,96170,-81584,99953,96170,-27873,99953,-90007,-19806,60059,96170,-42012,99953
1100,59127,40275,-99406,12839,-10922,-2784,3129,-12581,10661,-89787,-589,59979,96236,-80908,99952,96236,-25227,99952,-89787,-16848,59979,96236,-39885,99952
1150,57596,41993,-99594,12788,-10820,-2848,3129,-12581,10661,-89595,2860,59908,96301,-80250,99951,96301,-22647,99951,-89595,-13962,59908,96301,-37811,99951
1200,56045,43696,-99746,12735,-10718,-2911,3129,-12581,10661,-89430,6224,59846,96366,-79608,99950,96366,-20133,99950,-89430,-11149,59846,96366,-35789,99950
1250,54474,45384,-99862,12681,-10616,-2972,3129,-12581,10661,-89293,9505,59795,96431,-78982,99949,96431,-17682,99949,-89293,-8404,59795,96431,-33819,99949
1300,52884,47055,-99944,12624,-10515,-3031,3129,-12581,10661,-89183,12705,59755,96497,-78372,99948,96497,-15293,99948,-89183,-5728,59755,96497,-31898,99948
1350,51275,48710,-99989,12567,-10414,-3088,3129,-12581,10661,-89100,15826,59727,96562,-77777,99948,96562,-12965,99948,-89100,-3117,59727,96562,-30026,99948
1400,49647,50347,-99999,12508,-10314,-3143,3129,-12581,10661,-89044,18869,59712,96627,-77198,99947,96627,-10695,99947,-89044,-571,59712,96627,-28202,99947
1450,48002,51967,-99974,12447,-10215,-3196,3129,-12581,10661,-89013,21838,59712,96691,-76633,99946,96691,-8483,99946,-89013,1912,59712,96691,-26423,99946
1500,46340,53568,-99913,12385,-10116,-3248,3129,-12581,10661,-89009,24734,59728,96756,-76083,99945,96756,-6327,99945,-89009,4334,59728,96756,-24690,99945
1550,44662,55150,-99817,12322,-10018,-3297,3129,-12581,10661,-89030,27558,59761,96820,-75546,99945,96820,-4226,99945,-89030,6696,59761,96820,-23001,99945
1600,42967,56713,-99685,12258,-9921,-3344,3129,-12581,10661,-89076,30312,59813,96884,-75023,99944,96884,-2178,99944,-89076,9000,59813,96884,-21354,99944
1650,41258,58255,-99518,12192,-9824,-3389,3129,-12581,10661,-89146,32998,59887,96948,-74514,99944,96948,-182,99944,-89146,11247,59887,96948,-19750,99944
1700,39533,59777,-99315,12124,-9728,-3432,3129,-12581,10661,-89240,35618,59984,97012,-74017,99943,97012,1763,99943,-89240,13438,59984,97012,-18186,99943
1750,37795,61277,-99077,12056,-9633,-3473,3129,-12581,10661,-89356,38173,60108,97075,-73533,99943,97075,3659,99943,-89356,15575,60108,97075,-16662,99943
1800,36043,62756,-98804,11986,-9539,-3512,3129,-12581,10661,-89496,40665,60262,97138,-73061,99942,97138,5506,99942,-89496,17660,60262,97138,-15176,99942
1850,34279,64212,-98496,11916,-9445,-3549,3129,-12581,10661,-89656,43096,60449,97201,-72602,99941,97201,7307,99941,-89656,19693,60449,97201,-13729,99941
1900,32502,65646,-98152,11843,-9353,-3584,3129,-12581,10661,-89837,45466,60675,97263,-72154,99941,97263,9061,99941,-89837,21676,60675,97263,-12318,99941
