         1,             0,   86606,     -13,  -86596,   99998,  -25032,  -63162,  -99999,  -99999,  -99999,  -99999,  -99999,   -9116,  -99999,  -99999,   -9116,  -99999,  -99999,  -99999,  -99999,  -99999,   96572
         2,            50,   85648,    1872,  -87523,   99817,  -23031,  -64743,  -99983,  -97036,   62516,   91810,  -97427,   -9116,   91810,  -97427,   -9116,  -99983,  -97529,   62516,   91853,  -98222,   96572
         3,           100,   84660,    3756,  -88419,   99578,  -21022,  -66285,  -99648,  -91182,   62516,   91830,  -92345,  -10862,   91830,  -92345,  -10862,  -99648,  -92649,   62516,   91873,  -94710,   96517
         4,           150,   83643,    5639,  -89284,   99254,  -19005,  -67764,  -98941,  -85472,   62325,   91908,  -87390,  -12380,   91908,  -87390,  -12380,  -98941,  -87890,   62325,   91950,  -91287,   96469
         5,           200,   82595,    7520,  -90117,   98859,  -16981,  -69190,  -98224,  -79903,   62031,   92011,  -82559,  -11964,   92011,  -82559,  -11964,  -98224,  -83248,   62031,   92053,  -87949,   96482
         6,           250,   81518,    9398,  -90918,   98418,  -14953,  -70582,  -97516,  -74472,   61838,   92125,  -77851,  -11527,   92125,  -77851,  -11527,  -97516,  -78720,   61838,   92167,  -84696,   96496
         7,           300,   80412,   11273,  -91687,   97940,  -12922,  -71945,  -96835,  -69175,   61663,   92240,  -73262,  -10966,   92240,  -73262,  -10966,  -96835,  -74305,   61663,   92283,  -81525,   96514
         8,           350,   79277,   13144,  -92423,   97425,  -10890,  -73279,  -96184,  -64009,   61496,   92354,  -68790,  -10301,   92354,  -68790,  -10301,  -96184,  -69998,   61496,   92397,  -78435,   96535
         9,           400,   78114,   15010,  -93127,   96872,   -8857,  -74583,  -95564,  -58970,   61336,   92467,  -64431,   -9490,   92467,  -64431,   -9490,  -95564,  -65798,   61336,   92510,  -75423,   96560
        10,           450,   76923,   16871,  -93797,   96281,   -6825,  -75855,  -94974,  -54056,   61181,   92579,  -60183,   -8555,   92579,  -60182,   -8555,  -94974,  -61702,   61181,   92621,  -72488,   96589
        11,           500,   75705,   18725,  -94434,   95651,   -4792,  -77095,  -94414,  -49263,   61030,   92689,  -56042,   -7515,   92689,  -56042,   -7515,  -94414,  -57707,   61030,   92731,  -69627,   96622
        12,           550,   74460,   20574,  -95037,   94983,   -2762,  -78301,  -93884,  -44589,   60884,   92797,  -52007,   -6351,   92797,  -52007,   -6351,  -93884,  -53810,   60884,   92840,  -66839,   96659
        13,           600,   73189,   22415,  -95607,   94275,    -733,  -79474,  -93384,  -40030,   60743,   92905,  -48074,   -5104,   92905,  -48074,   -5104,  -93384,  -50009,   60743,   92948,  -64121,   96698
        14,           650,   71892,   24247,  -96142,   93529,    1293,  -80613,  -92913,  -35583,   60606,   93011,  -44241,   -3753,   93011,  -44241,   -3753,  -92913,  -46303,   60606,   93054,  -61473,   96740
