Time,SBUS A          V-node,SBUS B          V-node,SBUS C          V-node,SBUS A 22   A I-branch,SBUS B 22   B I-branch,SBUS C 22   C I-branch,TACS   PV001V I-branch,TACS   PV001I I-branch,TACS   PV001W I-branch,TACS   PV002V I-branch,TACS   PV002I I-branch,TACS   PV002W I-branch,TACS   ST001V I-branch,TACS   ST001I I-branch,TACS   ST001W I-branch,TACS   ST002V I-branch,TACS   ST002I I-branch,TACS   ST002W I-branch,TACS   ST003V I-branch,TACS   ST003I I-branch,TACS   ST003W I-branch
0,86607,-17,-86594,99998,-33375,-53680,-99999,-99999,-99999,-99999,-99999,99999,-99999,-99999,99998,-99999,-99999,-99999,-99999,-99999,99999
50,85650,1868,-87521,99980,-31524,-55321,-99983,-97048,62874,95038,-97483,99999,95038,-97772,99998,-99983,-97529,62874,95038,-97483,99999
100,84662,3752,-88417,99915,-29662,-56933,-99643,-91217,62874,95030,-92511,98108,95030,-93371,99992,-99643,-92650,62874,95030,-92511,98108
150,83644,5635,-89282,99787,-27790,-58502,-98928,-85530,62684,95050,-87662,95239,95050,-89079,99982,-98928,-87891,62684,95050,-87662,95239
200,82597,7515,-90116,99599,-25908,-60032,-98208,-79983,62392,95093,-82934,93329,95093,-84894,99975,-98208,-83249,62392,95093,-82934,93329
250,81519,9394,-90917,99365,-24016,-61532,-97495,-74574,62198,95148,-78324,91495,95148,-80813,99969,-97495,-78722,62198,95148,-78324,91495
300,80413,11268,-91686,99092,-22118,-63006,-96806,-69298,62021,95209,-73829,89757,95209,-76835,99963,-96806,-74307,62021,95209,-73829,89757
350,79279,13139,-92422,98782,-20214,-64454,-96144,-64152,61852,95271,-69447,88113,95271,-72956,99957,-96144,-70001,61852,95271,-69447,88113
400,78116,15005,-93125,98435,-18304,-65877,-95513,-59134,61690,95335,-65175,86584,95335,-69174,99952,-95513,-65801,61690,95335,-65175,86584
450,76925,16866,-93795,98050,-16390,-67274,-94911,-54239,61533,95398,-61009,85159,95398,-65487,99947,-94911,-61705,61533,95398,-61009,85159
500,75707,18721,-94432,97629,-14472,-68643,-94340,-49465,61381,95461,-56949,83838,95461,-61893,99942,-94340,-57710,61381,95461,-56949,83838
550,74462,20569,-95036,97170,-12551,-69985,-93798,-44809,61233,95525,-52990,82603,95525,-58388,99938,-93798,-53813,61233,95525,-52990,82603
600,73191,22410,-95605,96674,-10627,-71299,-93287,-40268,61091,95589,-49130,81463,95589,-54972,99934,-93287,-50013,61091,95589,-49130,81463
650,71894,24243,-96141,96142,-8701,-72584,-92805,-35839,60953,95653,-45367,80399,95653,-51641,99930,-92805,-46307,60953,95653,-45367,80399
700,70571,26067,-96643,95572,-6774,-73840,-92353,-31519,60820,95717,-41699,79401,95717,-48395,99926,-92353,-42692,60820,95717,-41699,79401
750,69223,27882,-97110,94967,-4847,-75066,-91931,-27307,60693,95781,-38124,78480,95781,-45229,99923,-91931,-39167,60693,95781,-38124,78480
800,67851,29688,-97542,94326,-2921,-76263,-91538,-23198,60571,95846,-34638,77615,95846,-42144,99920,-91538,-35728,60571,95846,-34638,77615
850,66454,31482,-97940,93651,-996,-77429,-91174,-19190,60455,95910,-31239,76817,95910,-39136,99917,-91174,-32375,60455,95910,-31239,76817
900,65034,33266,-98304,92941,926,-78566,-90839,-15282,60346,95975,-27927,76057,95975,-36204,99915,-90839,-29104,60346,95975,-27927,76057
950,63590,35037,-98632,92199,2845,-79672,-90533,-11470,60243,96040,-24698,75354,96040,-33345,99912,-90533,-25914,60243,96040,-24698,75354
1000,62124,36796,-98925,91424,4759,-80748,-90256,-7752,60147,96105,-21550,74689,96105,-30559,99910,-90256,-22802,60147,96105,-21550,74689
1050,60636,38542,-99183,90619,6668,-81794,-90007,-4126,60059,96170,-18482,74071,96170,-27843,99908,-90007,-19768,60059,96170,-18482,74071
1100,59127,40275,-99406,89783,8571,-82810,-89787,-589,59979,96236,-15491,73482,96236,-25196,99906,-89787,-16808,59979,96236,-15491,73482
1150,57596,41993,-99594,88918,10467,-83795,-89595,2860,59908,96301,-12575,72941,96301,-22615,99904,-89595,-13922,59908,96301,-12575,72941
1200,56045,43696,-99746,88025,12355,-84750,-89430,6224,59846,96366,-9733,72418,96366,-20100,99902,-89430,-11107,59846,96366,-9733,72418
1250,54474,45384,-99862,87105,14234,-85675,-89293,9505,59795,96431,-6963,71934,96431,-17648,99900,-89293,-8361,59795,96431,-6963,71934
1300,52884,47055,-99944,86158,16104,-86570,-89183,12705,59755,96497,-4264,71478,96497,-15258,99899,-89183,-5683,59755,96497,-4264,71478
1350,51275,48710,-99989,85186,17964,-87435,-89100,15826,59727,96562,-1632,71041,96562,-12929,99897,-89100,-3072,59727,96562,-1632,71041
1400,49647,50347,-99999,84188,19813,-88269,-89044,18869,59712,96627,933,70632,96627,-10658,99896,-89044,-524,59712,96627,933,70632
1450,48002,51967,-99974,83167,21650,-89074,-89013,21838,59712,96691,3433,70242,96691,-8445,99894,-89013,1960,59712,96691,3433,70242
1500,46340,53568,-99913,82122,23476,-89849,-89009,24734,59728,96756,5870,69872,96756,-6289,99893,-89009,4383,59728,96756,5870,69872
1550,44662,55150,-99817,81055,25289,-90593,-89030,27558,59761,96820,8244,69520,96820,-4186,99892,-89030,6746,59761,96820,8244,69520
1600,42967,56713,-99685,79965,27089,-91308,-89076,30312,59813,96884,10559,69178,96884,-2138,99891,-89076,9051,59813,96884,10559,69178
1650,41258,58255,-99518,78853,28875,-91992,-89146,32998,59887,96948,12815,68846,96948,-141,99890,-89146,11299,59887,96948,12815,68846
1700,39533,59777,-99315,77719,30648,-92647,-89240,35618,59984,97012,15013,68523,97012,1805,99888,-89240,13491,59984,97012,15013,68523
1750,37795,61277,-99077,76564,32406,-93271,-89356,38173,60108,97075,17156,68209,97075,3702,99887,-89356,15630,60108,97075,17156,68209
1800,36043,62756,-98804,75388,34150,-93864,-89496,40665,60262,97138,19244,67886,97138,5550,99886,-89496,17715,60262,97138,19244,67886
1850,34279,64212,-98496,74192,35879,-94427,-89656,43096,60449,97201,21279,67573,97201,7351,99885,-89656,19749,60449,97201,21279,67573
1900,32502,65646,-98152,72975,37592,-94960,-89837,45466,60675,97263,23262,67250,97263,9106,99884,-89837,21733,60675,97263,23262,67250
1950,30714,67056,-97774,71737,39289,-95461,-90038,47778,60944,97325,25194,66927,97325,10817,99883,-90038,23668,60944,97325,25194,66927
2000,28914,68442,-97362,70479,40971,-95932,-90256,50033,61264,97387,27078,66585,97387,12484,99882,-90256,25555,61264,97387,27078,66585
2050,27105,69804,-96914,69202,42636,-96371,-90491,52232,61641,97448,28913,66233,97448,14109,99880,-90491,27395,61641,97448,28913,66233
2100,25286,71141,-96432,67904,44284,-96779,-90740,54377,62086,97508,30701,65863,97508,15692,99879,-90740,29190,62086,97508,30701,65863
2150,23458,72453,-95916,66587,45914,-97156,-91001,56469,62611,97569,32444,65473,97569,17234,99878,-91001,30941,62611,97569,32444,65473
2200,21621,73740,-95366,65250,47528,-97501,-91271,58510,63228,97629,34142,65065,97629,18737,99876,-91271,32648,63228,97629,34142,65065
2250,19777,75000,-94782,63894,49123,-97813,-91546,60500,63958,97688,35797,64628,97688,20202,99875,-91546,34314,63958,97688,35797,64628
2300,17926,76233,-94164,62519,50699,-98094,-91820,62440,64820,97747,37410,64162,97747,21629,99873,-91820,35938,64820,97747,37410,64162
2350,16068,77439,-93513,61126,52256,-98342,-92086,64333,65843,97806,38981,63678,97806,23020,99871,-92086,37522,65843,97806,38981,63678
2400,14205,78618,-92828,59715,53793,-98558,-92336,66179,67058,97864,40511,63155,97864,24375,99870,-92336,39067,67058,97864,40511,63155
2450,12337,79769,-92111,58288,55308,-98740,-92555,67980,68502,97922,42003,62604,97922,25695,99868,-92555,40574,68502,97922,42003,62604
2500,10464,80891,-91361,56843,56802,-98890,-92728,69736,70214,97979,43456,62015,97979,26982,99866,-92728,42043,70214,97979,43456,62015
2550,8588,81985,-90578,55384,58273,-99006,-92831,71449,72224,98035,44872,61407,98035,28235,99863,-92831,43477,72224,98035,44872,61407
2600,6708,83050,-89763,53909,59720,-99089,-92839,73119,74541,98092,46252,60761,98092,29456,99861,-92839,44875,74541,98092,46252,60761
2650,4827,84085,-88917,52420,61143,-99139,-92724,74749,77126,98147,47596,60096,98147,30646,99859,-92724,46238,77126,98147,47596,60096
2700,2943,85090,-88038,50917,62541,-99155,-92465,76338,79879,98202,48906,59393,98202,31805,99856,-92465,47568,79879,98202,48906,59393
2750,1058,86065,-87129,49400,63915,-99137,-92054,77887,82647,98257,50182,58661,98257,32935,99854,-92054,48865,82647,98257,50182,58661
2800,-826,87010,-86188,47868,65264,-99085,-91502,79399,85265,98311,51425,57901,98311,34035,99851,-91502,50130,85265,98311,51425,57901
2850,-2711,87923,-85217,46320,66589,-98999,-90838,80873,87611,98365,52636,57103,98365,35107,99848,-90838,51363,87611,98365,52636,57103
2900,-4595,88806,-84216,44757,67891,-98878,-90094,82311,89636,98418,53816,56258,98418,36151,99845,-90094,52566,89636,98418,53816,56258
2950,-6477,89656,-83185,43178,69169,-98724,-89295,83713,91347,98471,54965,55374,98471,37169,99842,-89295,53740,91347,98471,54965,55374
3000,-8357,90475,-82124,41584,70422,-98536,-88459,85081,92783,98522,56085,54433,98522,38160,99839,-88459,54884,92783,98522,56085,54433
3050,-10233,91262,-81034,39976,71651,-98313,-87596,86415,93990,98574,57175,53436,98574,39125,99836,-87596,56001,93990,98574,57175,53436
3100,-12106,92016,-79915,38354,72854,-98057,-86708,87715,95007,98624,58238,52400,98624,40066,99832,-86708,57089,95007,98624,58238,52400
3150,-13975,92738,-78768,36719,74031,-97766,-85799,88984,95867,98674,59273,51308,98674,40982,99828,-85799,58151,95867,98674,59273,51308
3200,-15839,93426,-77592,35071,75182,-97442,-84868,90222,96598,98723,60281,50168,98723,41874,99824,-84868,59187,96598,98723,60281,50168
3250,-17697,94082,-76390,33411,76307,-97084,-83916,91429,97219,98771,61263,48980,98771,42744,99820,-83916,60197,97219,98771,61263,48980
3300,-19549,94704,-75160,31739,77406,-96693,-82945,92606,97747,98819,62220,47745,98819,43591,99816,-82945,61182,97747,98819,62220,47745
3350,-21394,95292,-73903,30054,78478,-96269,-81954,93754,98195,98865,63152,46462,98865,44415,99811,-81954,62143,98195,98865,63152,46462
3400,-23232,95847,-72620,28359,79525,-95812,-80946,94874,98574,98911,64060,45132,98911,45219,99807,-80946,63080,98574,98911,64060,45132
3450,-25061,96367,-71311,26651,80545,-95321,-79920,95966,98893,98956,64944,43764,98956,46002,99802,-79920,63994,98893,98956,64944,43764
3500,-26881,96853,-69977,24933,81539,-94799,-78878,97031,99158,99000,65805,42339,99000,46764,99797,-78878,64885,99158,99000,65805,42339
3550,-28692,97305,-68618,23204,82507,-94244,-77822,98070,99378,99043,66644,40867,99043,47507,99792,-77822,65754,99378,99043,66644,40867
3600,-30492,97722,-67235,21463,83449,-93657,-76751,98949,99557,99085,67461,39346,99085,48230,99786,-76751,66602,99557,99085,67461,39346
3650,-32282,98105,-65828,19713,84365,-93038,-75668,99547,99700,99126,68257,37788,99126,48934,99781,-75668,67429,99700,99126,68257,37788
