         1,             0,   86604,      -8,  -86597,   17821,     419,  -16577,    2571,       0,       0,  -99999,  -99999,  -99999,  -99999,  -99999,  -16375,  -99999,  -99999,  -16375,  -99999,  -99999,  -99999,  -99999,  -99999,  -16375
         2,            50,   85646,    1877,  -87524,   17733,    2976,  -16798,    2571,       0,       0,  -99985,  -97525,   62162,   87106,  -98087,  -16375,   87106,  -97777,  -16375,  -99985,  -97529,   62162,   87106,  -98087,  -16375
         3,           100,   84659,    3761,  -88421,   17626,    5530,  -17002,    2571,       0,       0,  -99677,  -92636,   62162,   87153,  -94309,  -16316,   87153,  -93389,  -16316,  -99677,  -92648,   62162,   87153,  -94309,  -16316
         4,           150,   83641,    5644,  -89286,   17483,    8080,  -17173,    2571,       0,       0,  -99025,  -87868,   61968,   87297,  -90627,  -16067,   87297,  -89110,  -16067,  -99025,  -87888,   61968,   87297,  -90627,  -16067
         5,           200,   82593,    7525,  -90119,   17321,   10625,  -17325,    2571,       0,       0,  -98358,  -83218,   61673,   87485,  -87038,  -15700,   87485,  -84942,  -15700,  -98358,  -83246,   61673,   87485,  -87038,  -15700
         6,           250,   81516,    9403,  -90920,   17154,   13151,  -17471,    2571,       0,       0,  -97705,  -78682,   61483,   87687,  -83543,  -15341,   87687,  -80881,  -15341,  -97705,  -78718,   61483,   87687,  -83543,  -15341
         7,           300,   80410,   11278,  -91688,   16983,   15654,  -17610,    2571,       0,       0,  -97082,  -74259,   61310,   87884,  -80138,  -14973,   87884,  -76924,  -14973,  -97082,  -74302,   61310,   87884,  -80138,  -14973
         8,           350,   79275,   13149,  -92424,   16806,   18136,  -17742,    2571,       0,       0,  -96487,  -69945,   61146,   88077,  -76820,  -14598,   88077,  -73071,  -14598,  -96487,  -69995,   61146,   88077,  -76820,  -14598
         9,           400,   78112,   15015,  -93128,   16622,   20597,  -17865,    2571,       0,       0,  -95920,  -65737,   60987,   88265,  -73589,  -14217,   88265,  -69316,  -14217,  -95920,  -65794,   60987,   88265,  -73589,  -14217
        10,           450,   76921,   16876,  -93798,   16432,   23035,  -17980,    2571,       0,       0,  -95381,  -61633,   60833,   88450,  -70441,  -13829,   88450,  -65659,  -13829,  -95381,  -61697,   60833,   88450,  -70441,  -13829
        11,           500,   75703,   18730,  -94435,   16236,   25451,  -18086,    2571,       0,       0,  -94870,  -57631,   60683,   88632,  -67375,  -13436,   88632,  -62097,  -13436,  -94870,  -57701,   60683,   88632,  -67375,  -13436
        12,           550,   74459,   20579,  -95038,   16032,   27842,  -18183,    2571,       0,       0,  -94387,  -53727,   60539,   88809,  -64388,  -13037,   88809,  -58626,  -13037,  -94387,  -53804,   60539,   88809,  -64388,  -13037
        13,           600,   73187,   22419,  -95608,   15822,   30207,  -18270,    2571,       0,       0,  -93931,  -49920,   60398,   88984,  -61478,  -12634,   88984,  -55246,  -12634,  -93931,  -50003,   60398,   88984,  -61478,  -12634
        14,           650,   71890,   24252,  -96143,   15605,   32545,  -18348,    2571,       0,       0,  -93503,  -46206,   60263,   89155,  -58643,  -12227,   89155,  -51953,  -12227,  -93503,  -46296,   60263,   89155,  -58643,  -12227
        15,           700,   70567,   26077,  -96645,   15381,   34853,  -18417,    2571,       0,       0,  -93102,  -42585,   60133,   89323,  -55882,  -11815,   89323,  -48745,  -11815,  -93102,  -42681,   60133,   89323,  -55882,  -11815
        16,           750,   69219,   27892,  -97112,   15151,   37129,  -18476,    2571,       0,       0,  -92729,  -39053,   60009,   89488,  -53192,  -11399,   89488,  -45620,  -11399,  -92729,  -39155,   60009,   89488,  -53192,  -11399
        17,           800,   67846,   29697,  -97544,   14916,   39370,  -18526,    2571,       0,       0,  -92382,  -35608,   59890,   89651,  -50572,  -10981,   89651,  -42576,  -10981,  -92382,  -35715,   59890,   89651,  -50572,  -10981
        18,           850,   66450,   31491,  -97942,   14675,   41575,  -18567,    2571,       0,       0,  -92063,  -32248,   59778,   89810,  -48020,  -10557,   89810,  -39611,  -10557,  -92063,  -32361,   59778,   89810,  -48020,  -10557
        19,           900,   65029,   33275,  -98305,   14430,   43740,  -18600,    2571,       0,       0,  -91771,  -28971,   59672,   89967,  -45534,  -10130,   89967,  -36723,  -10130,  -91771,  -29090,   59672,   89967,  -45534,  -10130
        20,           950,   63586,   35046,  -98633,   14181,   45864,  -18624,    2571,       0,       0,  -91505,  -25775,   59573,   90120,  -43113,   -9698,   90120,  -33910,   -9698,  -91505,  -25899,   59573,   90120,  -43113,   -9698
        21,          1000,   62120,   36805,  -98927,   13930,   47944,  -18640,    2571,       0,       0,  -91266,  -22658,   59481,   90272,  -40754,   -9261,   90272,  -31170,   -9261,  -91266,  -22787,   59481,   90272,  -40754,   -9261
        22,          1050,   60632,   38551,  -99184,   13676,   49977,  -18649,    2571,       0,       0,  -91054,  -19618,   59398,   90420,  -38457,   -8819,   90420,  -28501,   -8819,  -91054,  -19752,   59398,   90420,  -38457,   -8819
        23,          1100,   59122,   40284,  -99407,   13421,   51963,  -18651,    2571,       0,       0,  -90867,  -16653,   59324,   90566,  -36219,   -8371,   90566,  -25901,   -8371,  -90867,  -16792,   59324,   90566,  -36219,   -8371
        24,          1150,   57591,   42002,  -99595,   13165,   53899,  -18647,    2571,       0,       0,  -90707,  -13761,   59259,   90709,  -34039,   -7919,   90709,  -23369,   -7919,  -90707,  -13905,   59259,   90709,  -34039,   -7919
        25,          1200,   56040,   43705,  -99747,   12909,   55783,  -18636,    2571,       0,       0,  -90572,  -10940,   59204,   90849,  -31916,   -7458,   90849,  -20902,   -7458,  -90572,  -11089,   59204,   90849,  -31916,   -7458
        26,          1250,   54469,   45393,  -99863,   12654,   57616,  -18620,    2571,       0,       0,  -90464,   -8189,   59160,   90986,  -29848,   -6992,   90986,  -18500,   -6992,  -90464,   -8343,   59160,   90986,  -29848,   -6992
        27,          1300,   52879,   47064,  -99944,   12401,   59396,  -18600,    2571,       0,       0,  -90380,   -5507,   59129,   91121,  -27834,   -6518,   91121,  -16160,   -6518,  -90380,   -5665,   59129,   91121,  -27834,   -6518
        28,          1350,   51269,   48719,  -99990,   12149,   61123,  -18575,    2571,       0,       0,  -90322,   -2890,   59110,   91254,  -25872,   -6035,   91254,  -13880,   -6035,  -90322,   -3052,   59110,   91254,  -25872,   -6035
        29,          1400,   49642,   50356,  -99999,   11900,   62798,  -18546,    2571,       0,       0,  -90288,    -338,   59107,   91383,  -23961,   -5547,   91383,  -11660,   -5547,  -90288,    -505,   59107,   91383,  -23961,   -5547
        30,          1450,   47997,   51976,  -99974,   11655,   64419,  -18514,    2571,       0,       0,  -90278,    2151,   59119,   91510,  -22100,   -5048,   91510,   -9498,   -5048,  -90278,    1980,   59119,   91510,  -22100,   -5048
        31,          1500,   46334,   53577,  -99913,   11412,   65989,  -18478,    2571,       0,       0,  -90293,    4579,   59149,   91635,  -20287,   -4541,   91635,   -7392,   -4541,  -90293,    4404,   59149,   91635,  -20287,   -4541
        32,          1550,   44656,   55159,  -99816,   11174,   67509,  -18440,    2571,       0,       0,  -90331,    6946,   59198,   91757,  -18522,   -4027,   91757,   -5341,   -4027,  -90331,    6767,   59198,   91757,  -18522,   -4027
        33,          1600,   42961,   56721,  -99684,   10939,   68978,  -18400,    2571,       0,       0,  -90392,    9255,   59269,   91877,  -16802,   -3503,   91877,   -3343,   -3503,  -90392,    9073,   59269,   91877,  -16802,   -3503
        34,          1650,   41251,   58263,  -99517,   10709,   70400,  -18358,    2571,       0,       0,  -90476,   11508,   59364,   91994,  -15127,   -2971,   91994,   -1397,   -2971,  -90476,   11321,   59364,   91994,  -15127,   -2971
        35,          1700,   39527,   59785,  -99314,   10483,   71776,  -18315,    2571,       0,       0,  -90582,   13704,   59487,   92109,  -13496,   -2431,   92109,     498,   -2431,  -90582,   13514,   59487,   92109,  -13496,   -2431
        36,          1750,   37788,   61285,  -99076,   10260,   73107,  -18270,    2571,       0,       0,  -90709,   15846,   59640,   92221,  -11907,   -1883,   92221,    2344,   -1883,  -90709,   15653,   59640,   92221,  -11907,   -1883
        37,          1800,   36036,   62764,  -98802,   10042,   74396,  -18223,    2571,       0,       0,  -90857,   17936,   59827,   92331,  -10360,   -1328,   92331,    4142,   -1328,  -90857,   17738,   59827,   92331,  -10360,   -1328
        38,          1850,   34272,   64220,  -98494,    9828,   75644,  -18175,    2571,       0,       0,  -91024,   19974,   60055,   92440,   -8852,    -767,   92440,    5893,    -767,  -91024,   19773,   60055,   92440,   -8852,    -767
