         1,             0,   99998,  -50005,  -49994,   93152,  -95700,    4592,    4366,  -19381,   18487,  -99999,  -99999,   98382,  -99999,  -99999,   98227,  -99999,  -99999,   98425,  -99999,  -99999,   98438,  -99999,  -99999,   98174,  -99999,  -99999,   98354,  -99999,  -99999,   98747,  -99999,  -99999,   97962
         2,            50,   99980,  -48364,  -51618,   94446,  -94569,    2411,    4366,  -19381,   18487,   83318,  -98376,   98382,   83237,  -98376,   98227,   83684,  -98376,   98425,   83649,  -98376,   98438,   84044,  -98376,   98174,   83840,  -98376,   98354,   82820,  -98376,   98747,   84219,  -98376,   97962
         3,           100,   99927,  -46706,  -53223,   95639,  -93400,     284,    4366,  -19381,   18487,   83184,  -95168,   97510,   83102,  -95168,   97337,   83545,  -95168,   97575,   83512,  -95168,   97594,   83901,  -95168,   97322,   83701,  -95168,   97512,   82693,  -95168,   97881,   84075,  -95168,   97100
         4,           150,   99840,  -45031,  -54811,   96504,  -92195,   -1598,    4366,  -19381,   18487,   82909,  -92035,   95791,   82833,  -92035,   95582,   83257,  -92035,   95902,   83227,  -92035,   95932,   83604,  -92035,   95644,   83411,  -92035,   95853,   82439,  -92035,   96175,   83776,  -92035,   95403
         5,           200,   99718,  -43340,  -56380,   96864,  -90957,   -3078,    4366,  -19381,   18487,   82638,  -88975,   94118,   82576,  -88975,   93875,   82965,  -88974,   94274,   82935,  -88974,   94316,   83303,  -88974,   94011,   83115,  -88974,   94240,   82193,  -88976,   94515,   83474,  -88974,   93752
         6,           250,   99558,  -41634,  -57927,   96934,  -89697,   -4328,    4366,  -19381,   18487,   82402,  -85986,   92486,   82356,  -85987,   92208,   82705,  -85984,   92686,   82673,  -85985,   92738,   83034,  -85983,   92417,   82849,  -85984,   92665,   81974,  -85988,   92897,   83206,  -85983,   92140
         7,           300,   99362,  -39912,  -59452,   97099,  -88430,   -5668,    4366,  -19381,   18487,   82187,  -83067,   90892,   82156,  -83068,   90583,   82469,  -83064,   91135,   82435,  -83064,   91198,   82789,  -83062,   90861,   82607,  -83063,   91128,   81774,  -83070,   91319,   82963,  -83062,   90566
         8,           350,   99132,  -38177,  -60957,   97422,  -87162,   -7144,    4366,  -19381,   18487,   81990,  -80216,   89338,   81971,  -80218,   88999,   82250,  -80211,   89623,   82214,  -80211,   89696,   82563,  -80209,   89342,   82383,  -80210,   89628,   81589,  -80221,   89780,   82739,  -80209,   89030
         9,           400,   98867,  -36428,  -62441,   97698,  -85889,   -8584,    4366,  -19381,   18487,   81805,  -77432,   87822,   81798,  -77435,   87455,   82046,  -77425,   88147,   82007,  -77426,   88230,   82352,  -77422,   87861,   82173,  -77424,   88164,   81414,  -77438,   88281,   82530,  -77422,   87531
        10,           450,   98566,  -34666,  -63902,   97848,  -84601,   -9931,    4366,  -19381,   18487,   81634,  -74713,   86344,   81638,  -74718,   85949,   81856,  -74705,   86707,   81815,  -74705,   86800,   82155,  -74701,   86415,   81978,  -74703,   86735,   81254,  -74722,   86818,   82336,  -74701,   86068
        11,           500,   98230,  -32892,  -65340,   97992,  -83294,  -11290,    4366,  -19381,   18487,   81478,  -72059,   84901,   81493,  -72065,   84479,   81682,  -72048,   85301,   81639,  -72048,   85404,   81975,  -72043,   85003,   81799,  -72046,   85341,   81110,  -72069,   85390,   82157,  -72043,   84639
        12,           550,   97859,  -31106,  -66755,   98209,  -81976,  -12723,    4366,  -19381,   18487,   81338,  -69468,   83491,   81363,  -69476,   83045,   81524,  -69454,   83928,   81480,  -69454,   84040,   81811,  -69448,   83624,   81637,  -69451,   83978,   80980,  -69480,   83997,   81995,  -69448,   83244
        13,           600,   97454,  -29309,  -68147,   98436,  -80653,  -14169,    4366,  -19381,   18487,   81211,  -66938,   82115,   81245,  -66948,   81645,   81381,  -66921,   82587,   81334,  -66921,   82707,   81661,  -66914,   82277,   81489,  -66917,   82647,   80863,  -66952,   82637,   81847,  -66914,   81881
        14,           650,   97014,  -27502,  -69514,   98609,  -79321,  -15576,    4366,  -19381,   18487,   81097,  -64468,   80771,   81140,  -64480,   80279,   81251,  -64448,   81277,   81203,  -64448,   81405,   81526,  -64440,   80961,   81354,  -64444,   81347,   80758,  -64485,   81309,   81712,  -64441,   80549
        15,           700,   96540,  -25685,  -70857,   98750,  -77973,  -16972,    4366,  -19381,   18487,   80997,  -62058,   79458,   81048,  -62071,   78944,   81136,  -62034,   79996,   81086,  -62033,   80132,   81405,  -62025,   79674,   81235,  -62029,   80075,   80667,  -62077,   80012,   81593,  -62026,   79247
        16,           750,   96031,  -23859,  -72174,   98910,  -76610,  -18398,    4366,  -19381,   18487,   80910,  -59705,   78175,   80969,  -59721,   77639,   81036,  -59678,   78744,   80984,  -59677,   78888,   81299,  -59667,   78416,   81131,  -59672,   78832,   80590,  -59727,   78744,   81488,  -59668,   77974
        17,           800,   95488,  -22024,  -73466,   99081,  -75239,  -19841,    4366,  -19381,   18487,   80837,  -57409,   76920,   80903,  -57427,   76365,   80949,  -57378,   77519,   80896,  -57377,   77671,   81207,  -57366,   77185,   81040,  -57371,   77616,   80525,  -57434,   77505,   81396,  -57367,   76729
        18,           850,   94911,  -20181,  -74732,   99229,  -73860,  -21272,    4366,  -19381,   18487,   80777,  -55168,   75692,   80849,  -55189,   75119,   80876,  -55134,   76321,   80821,  -55132,   76479,   81128,  -55120,   75980,   80963,  -55126,   76425,   80472,  -55196,   76294,   81319,  -55122,   75510
        19,           900,   94301,  -18332,  -75971,   99351,  -72468,  -22692,    4366,  -19381,   18487,   80729,  -52982,   74491,   80808,  -53005,   73900,   80816,  -52944,   75148,   80760,  -52941,   75314,   81063,  -52928,   74801,   80900,  -52934,   75260,   80432,  -53012,   75109,   81254,  -52930,   74317
        20,           950,   93656,  -16476,  -77183,   99467,  -71062,  -24120,    4366,  -19381,   18487,   80694,  -50849,   73315,   80778,  -50874,   72708,   80769,  -50806,   74000,   80712,  -50804,   74172,   81011,  -50789,   73647,   80850,  -50796,   74119,   80404,  -50882,   73949,   81203,  -50792,   73149
        21,          1000,   92979,  -14613,  -78368,   99583,  -69646,  -25560,    4366,  -19381,   18487,   80671,  -48768,   72164,   80761,  -48796,   71541,   80736,  -48721,   72875,   80677,  -48718,   73053,   80973,  -48703,   72515,   80813,  -48710,   73001,   80389,  -48804,   72814,   81165,  -48705,   72004
        22,          1050,   92269,  -12746,  -79525,   99687,  -68221,  -26996,    4366,  -19381,   18487,   80661,  -46738,   71036,   80756,  -46768,   70398,   80715,  -46687,   71772,   80655,  -46684,   71957,   80947,  -46667,   71407,   80789,  -46675,   71905,   80385,  -46777,   71703,   81140,  -46670,   70883
        23,          1100,   91526,  -10874,  -80653,   99771,  -66785,  -28426,    4366,  -19381,   18487,   80662,  -44759,   69931,   80761,  -44791,   69278,   80707,  -44703,   70692,   80645,  -44699,   70882,   80934,  -44681,   70320,   80778,  -44689,   70831,   80393,  -44801,   70614,   81127,  -44684,   69783
        24,          1150,   90750,   -8999,  -81753,   99840,  -65336,  -29855,    4366,  -19381,   18487,   80675,  -42828,   68847,   80779,  -42863,   68182,   80711,  -42768,   69632,   80648,  -42764,   69828,   80934,  -42744,   69253,   80779,  -42753,   69777,   80412,  -42873,   69547,   81127,  -42747,   68704
        25,          1200,   89942,   -7120,  -82824,   99901,  -63875,  -31289,    4366,  -19381,   18487,   80700,  -40945,   67784,   80807,  -40983,   67106,   80727,  -40881,   68591,   80663,  -40876,   68793,   80945,  -40855,   68207,   80792,  -40864,   68743,   80442,  -40993,   68501,   81138,  -40858,   67646
