Time,SBUS A          V-node,SBUS B          V-node,SBUS C          V-node,SBUS A 1    A I-branch,SBUS B 1    B I-branch,SBUS C 1    C I-branch,FAULTA        I-branch,FAULTB        I-branch,FAULTC        I-branch,TACS   PV001V I-branch,TACS   PV001I I-branch,TACS   PV001W I-branch,TACS   PV002V I-branch,TACS   PV002I I-branch,TACS   PV002W I-branch,TACS   PV003V I-branch,TACS   PV003I I-branch,TACS   PV003W I-branch,TACS   PV004V I-branch,TACS   PV004I I-branch,TACS   PV004W I-branch,TACS   PV005V I-branch,TACS   PV005I I-branch,TACS   PV005W I-branch,TACS   PV006V I-branch,TACS   PV006I I-branch,TACS   PV006W I-branch,TACS   PV007V I-branch,TACS   PV007I I-branch,TACS   PV007W I-branch,TACS   PV008V I-branch,TACS   PV008I I-branch,TACS   PV008W I-branch
0,99991,-50007,-49987,88482,-99999,16467,-19355,0,0,-99999,-99999,99999,-99999,-99999,99998,-99999,-99999,99999,-99999,-99999,99998,-99999,-99999,99999,-99999,-99999,99999,-99999,-99999,99999,-99999,-99999,99998
50,99974,-48366,-51611,89734,-98937,14221,-19355,0,0,84745,-97476,99999,84663,-97474,99998,85321,-97487,99999,85240,-97484,99998,85954,-97498,99999,85570,-97491,99999,83873,-97459,99999,86284,-97503,99998
100,99921,-46708,-53216,90919,-97837,12001,-19355,0,0,84589,-92488,98464,84507,-92482,98445,85157,-92521,98486,85079,-92514,98482,85783,-92554,98491,85406,-92533,98490,83730,-92437,98443,86110,-92571,98492
150,99834,-45033,-54804,91926,-96701,9913,-19355,0,0,84269,-87618,95440,84192,-87607,95384,84818,-87672,95506,84745,-87660,95494,85429,-87725,95522,85064,-87690,95518,83444,-87534,95378,85751,-87752,95522
200,99712,-43342,-56372,92656,-95531,8053,-19355,0,0,83953,-82858,92496,83892,-82844,92403,84474,-82932,92606,84404,-82917,92586,85070,-83005,92631,84717,-82958,92627,83171,-82744,92393,85388,-83043,92632
250,99552,-41636,-57919,93195,-94334,6344,-19355,0,0,83677,-78209,89622,83636,-78191,89491,84166,-78301,89774,84097,-78281,89746,84745,-78393,89808,84402,-78334,89803,82932,-78066,89483,85062,-78441,89808
300,99357,-39915,-59445,93722,-93114,4625,-19355,0,0,83429,-73666,86814,83407,-73646,86650,83886,-73776,87009,83816,-73752,86973,84449,-73886,87050,84114,-73815,87045,82711,-73496,86645,84766,-73944,87048
350,99127,-38180,-60950,94266,-91876,2872,-19355,0,0,83202,-69230,84072,83196,-69207,83878,83628,-69356,84308,83557,-69328,84264,84177,-69483,84356,83849,-69401,84350,82507,-69034,83876,84493,-69551,84352
400,98862,-36431,-62434,94738,-90622,1169,-19355,0,0,82991,-64896,81396,83001,-64872,81174,83388,-65037,81671,83316,-65006,81620,83924,-65182,81725,83602,-65088,81719,82317,-64676,81176,84241,-65259,81718
450,98561,-34669,-63895,95136,-89350,-480,-19355,0,0,82796,-60664,78784,82820,-60639,78537,83165,-60819,79097,83092,-60784,79038,83690,-60979,79155,83372,-60875,79150,82142,-60420,78543,84008,-61066,79145
500,98225,-32895,-65333,95539,-88059,-2153,-19355,0,0,82618,-56532,76233,82655,-56506,75963,82960,-56699,76582,82885,-56660,76516,83473,-56875,76644,83161,-56761,76639,81983,-56265,75972,83792,-56970,76630
550,97855,-31109,-66748,95962,-86750,-3863,-19355,0,0,82455,-52496,73741,82505,-52470,73450,82772,-52676,74125,82696,-52633,74051,83274,-52866,74190,82966,-52742,74186,81838,-52208,73462,83593,-52970,74173
600,97450,-29312,-68140,96353,-85427,-5558,-19355,0,0,82306,-48556,71307,82368,-48530,70997,82600,-48746,71724,82522,-48700,71643,83090,-48950,71791,82788,-48817,71788,81707,-48247,71013,83410,-49063,71770
650,97010,-27505,-69507,96696,-84087,-7224,-19355,0,0,82172,-44710,68929,82244,-44683,68601,82442,-44909,69377,82363,-44859,69288,82923,-45127,69446,82624,-44985,69443,81588,-44381,68621,83243,-45248,69422
700,96535,-25688,-70850,97031,-82729,-8901,-19355,0,0,82052,-40954,66605,82134,-40929,66261,82300,-41163,67083,82220,-41109,66986,82771,-41393,67153,82477,-41242,67150,81484,-40607,66284,83092,-41523,67124
750,96026,-23862,-72167,97373,-81353,-10602,-19355,0,0,81946,-37288,64332,82038,-37264,63974,82174,-37505,64838,82092,-37448,64734,82634,-37748,64909,82345,-37588,64907,81394,-36923,64000,82956,-37886,64876
800,95484,-22027,-73459,97692,-79961,-12297,-19355,0,0,81854,-33710,62109,81955,-33687,61739,82062,-33935,62642,81979,-33874,62530,82513,-34189,62713,82228,-34021,62712,81316,-33328,61768,82834,-34335,62676
